HG00126_chrY	chrY_haplotype1-0000017+
HG00140_chrY	chrY_haplotype1-0000004+
HG00280_chrY	chrY_haplotype1-0000024+
HG00290_chrY	chrY_haplotype1-0000013+
HG002_chrY	chrY_pat-0000702+
HG00321_chrY	chrY_haplotype2-0000065+_chrY_haplotype2-0000041+
HG00329_chrY	chrY_haplotype1-0000012+
HG005_chrY	chrY_pat-0001218+_chrY_pat-0001233+
HG00609_chrY	chrY_haplotype1-0000011+
HG00621_chrY	chrY_pat-0000611-
HG00642_chrY	chrY_haplotype1-0000004+
HG00658_chrY	chrY_pat-0000544+_chrY_pat-0000537+
HG00673_chrY	chrY_haplotype1-0000012+_chrY_haplotype2-0000096+
HG00706_chrY	chrY_haplotype1-0000020+
HG00738_chrY	chrY_pat-0000564+
HG01074_chrY	chrY_haplotype1-0000019+
HG01099_chrY	chrY_haplotype1-0000025+
HG01106_chrY	chrX_mat-0000007+_chrY_pat-0000759+
HG01109_chrY	chrY_pat-0000969+_chrY_pat-0000951+
HG01243_chrY	chrY_haplotype1-0000012+_chrY_haplotype1-0000021+
HG01252_chrY	chrY_pat-0000532+_pat-0000707+
HG01255_chrY	chrY_haplotype1-0000016+
HG01258_chrY	chrY_pat-0000774+
HG01261_chrY	chrY_haplotype1-0000012+
HG01358_chrY	chrY_pat-0000434+
HG01433_chrY	chrY_pat-0000521+_chrY_pat-0000511+_chrY_pat-0000498+
HG01530_chrY	chrY_haplotype1-0000004+
HG01928_chrY	chrY_pat-0000542+
HG01934_chrY	chrY_haplotype1-0000010+
HG01943_chrY	chrY_haplotype1-0000026-
HG01952_chrY	chrY_haplotype1-0000014+
HG02015_chrY	chrY_haplotype1-0000001+_chrY_haplotype2-0000121+
HG02027_chrY	chrY_pat-0000390+
HG02040_chrY	chrY_haplotype1-0000017-
HG02055_chrY	chrY_pat-0000629+_chrY_pat-0000631+
HG02056_chrY	chrY_pat-0000451+
HG02071_chrY	chrY_pat-0000661-
HG02074_chrY	chrY_pat-0000739-
HG02083_chrY	chrY_pat-0000362+
HG02129_chrY	chrY_haplotype1-0000005+_chrY_haplotype2-0000101+
HG02132_chrY	chrY_haplotype2-0000165+_chrY_haplotype2-0000173+
HG02135_chrY	chrY_pat-0000670+
HG02145_chrY	haplotype1-0000075+_chrY_haplotype1-0000002+_chrY_haplotype1-0000157+_chrY_haplotype1-0000004+_chrY_haplotype1-0000024+_chrY_haplotype2-0000213-
HG02258_chrY	chrY_haplotype1-0000016+
HG02391_chrY	chrY_haplotype1-0000014+
HG02392_chrY	chrY_haplotype1-0000002+
HG02572_chrY	chrY_haplotype1-0000021+
HG02602_chrY	chrY_pat-0000505+_chrY_pat-0000506-
HG02647_chrY	chrY_pat-0000655-
HG02668_chrY	chrY_pat-0000504-_chrY_pat-0000487+
HG02698_chrY	chrY_haplotype1-0000017+
HG02717_chrY	chrY_mat-0000024+
HG02735_chrY	chrY_haplotype1-0000003+
HG02738_chrY	chrY_pat-0000697+
HG02965_chrY	chrY_haplotype1-0000013+_chrY_haplotype2-0000167+
HG02984_chrY	chrY_haplotype1-0000013-
HG03017_chrY	chrY_haplotype1-0000011-
HG03050_chrY	chrY_pat-0000469+
HG03098_chrY	chrY_haplotype1-0000004+_chrY_haplotype1-0000006+
HG03130_chrY	chrY_haplotype1-0000006+_chrY_haplotype2-0000110+
HG03209_chrY	chrY_haplotype1-0000002+
HG03225_chrY	chrY_haplotype1-0000015-
HG03471_chrY	chrY_haplotype1-0000006+
HG03492_chrY	chrY_pat-0000829-_chrY_pat-0000828+
HG03521_chrY	chrY_haplotype1-0000022+
HG03579_chrY	chrY_haplotype1-0000023+
HG03654_chrY	chrY_haplotype1-0000012+
HG03710_chrY	chrY_haplotype1-0000009+
HG03742_chrY	chrY_haplotype1-0000022+
HG03942_chrY	chrY_pat-0000811-_chrY_pat-0000813+
HG04115_chrY	chrY_pat-0001036+
HG04157_chrY	chrY_haplotype1-0000029+_chrY_haplotype1-0000023+_chrY_haplotype2-0000084+
HG04160_chrY	chrY_haplotype1-0000022+
HG04199_chrY	chrY_haplotype1-0000001+
HG04204_chrY	chrY_haplotype1-0000022+
HG04228_chrY	chrY_haplotype1-0000011+
NA18522_chrY	chrY_haplotype1-0000020+
NA18612_chrY	chrY_haplotype2-0000088-_chrY_haplotype1-0000005+
NA18620_chrY	chrY_haplotype1-0000001+_chrY_unassigned-0000173+
NA18747_chrY	chrY_haplotype1-0000010+
NA18879_chrY	chrY_haplotype1-0000021+
NA18952_chrY	chrY_haplotype1-0000008-
NA18983_chrY	chrY_haplotype1-0000006+
NA19043_chrY	chrY_haplotype1-0000017+
NA19443_chrY	chrY_haplotype1-0000025+_chrY_haplotype2-0000191+
NA19682_chrY	chrY_haplotype1-0000008-
NA19700_chrY	chrY_haplotype1-0000009+
NA20346_chrY	chrY_haplotype1-0000017+
NA20752_chrY	chrY_haplotype1-0000011-
NA20805_chrY	chrY_haplotype1-0000003+
NA20809_chrY	chrY_haplotype1-0000030+_chrY_haplotype2-0000094+
NA20850_chrY	chrY_haplotype1-0000018+
NA20870_chrY	chrY_haplotype1-0000014-
NA20905_chrY	chrY_haplotype1-0000006+
NA21093_chrY	chrY_haplotype1-0000021+
HG01167_chrY	haplotype1-0000001+	manual_update
HG01192_chrY	haplotype1-0000011+	manual_update
HG02486_chrY	pat-0000295+	manual_update
HG02514_chrY	haplotype1-0000011-	manual_update
HG03139_chrY	haplotype1-0000013-	manual_update
HG03688_chrY	haplotype1-0000013+	manual_update
HG04187_chrY	pat-0000905+	manual_update
NA18608_chrY	haplotype1-0000026+	manual_update+patching
NA18971_chrY	haplotype1-0000013+	manual_update
NA18974_chrY	haplotype1-0000003-	manual_update
HG003_chrY	chrY_haplotype1-0000002+	shared on globus
