HG00140_chrY_random0000005	haplotype1-0000005	
HG00140_chrY_random0000060	haplotype2-0000060	
HG00140_chrY_random0000061	haplotype2-0000061	
HG00140_chrY_random0000086	haplotype2-0000086	
HG00280_chrY_random0000029	haplotype1-0000029	
HG00280_chrY_random0000030	haplotype1-0000030	
HG00280_chrY_random0000038	haplotype1-0000038	
HG00280_chrY_random0000071	haplotype1-0000071	
HG00280_chrY_random0000072	haplotype1-0000072	
HG003_chrY_random0000026	haplotype1-0000026	
HG003_chrY_random0000027	haplotype1-0000027	
HG003_chrY_random0000053	haplotype1-0000053	
HG003_chrY_random0000054	haplotype1-0000054	
HG003_chrY_random0000055	haplotype1-0000055	
HG003_chrY_random0000056	haplotype1-0000056	
HG003_chrY_random0000057	haplotype1-0000057	
HG003_chrY_random0000058	haplotype1-0000058	
HG003_chrY_random0000091	haplotype1-0000091	
HG003_chrY_random0000121	haplotype1-0000121	
HG003_chrY_random0000122	haplotype1-0000122	
HG003_chrY_random0000124	haplotype1-0000124	
HG003_chrY_random0000130	haplotype1-0000130	
HG003_chrY_random0000131	haplotype1-0000131	
HG003_chrY_random0000132	haplotype1-0000132	
HG003_chrY_random0000146	haplotype2-0000146	
HG003_chrY_random0000923	unassigned-0000923	
HG003_chrY_random0000924	unassigned-0000924	
HG00321_chrY_random0000002	haplotype1-0000002	
HG00321_chrY_random0000009	haplotype1-0000009	
HG00321_chrY_random0000028	haplotype1-0000028	
HG00321_chrY_random0000031	haplotype1-0000031	
HG00321_chrY_random0000038	haplotype1-0000038	
HG00321_chrY_random0000043	haplotype2-0000043	
HG00321_chrY_random0000069	haplotype2-0000069	
HG00321_chrY_random0000167	unassigned-0000167	
HG00321_chrY_random0000168	unassigned-0000168	
HG00321_chrY_random0000169	unassigned-0000169	
HG00321_chrY_random0000170	unassigned-0000170	
HG00321_chrY_random0000171	unassigned-0000171	
HG00321_chrY_random0000177	unassigned-0000177	
HG00321_chrY_random0000586	unassigned-0000586	
HG00321_chrY_random0000716	unassigned-0000716	
HG00321_chrY_random0000761	unassigned-0000761	
HG00329_chrY_random0000035	haplotype1-0000035	
HG00329_chrY_random0000036	haplotype1-0000036	
HG00329_chrY_random0000037	haplotype1-0000037	
HG00329_chrY_random0000039	haplotype1-0000039	
HG00329_chrY_random0000046	haplotype1-0000046	
HG00329_chrY_random0000053	haplotype1-0000053	
HG00329_chrY_random0000064	haplotype1-0000064	
